ahat,bhat,se,fval,pval,n,x,y,study
0.00228070945094645,-0.00182824164097465,6.1585687892606e-05,881.267185940126,1.18197334152837e-193,10000000,prs,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_1,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_2,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_3,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_4,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_5,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_6,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_7,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_8,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_9,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_10,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_11,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_12,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_13,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_14,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_15,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_16,d,all
-0.000444799757360439,-0.00322926160598859,0.00662721390332788,0.237434859721426,0.626064974549456,10000000,c0_17,d,all
7.78927669238499e-05,0.0111695136540813,0.00663104184486978,2.83729824674841,0.0920989824327089,10000000,r0,d,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_1,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_2,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_3,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_4,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_5,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_6,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_7,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_8,all
0.000114564355100133,4.57393487019518e-07,7.74765376789974e-05,3.4852950027509e-05,0.995289605299742,10000000,prs,c0_9,all
